@relation InstanceResultListener

@attribute Key_Dataset {R_data_frame}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.RandomForest,weka.classifiers.meta.AttributeSelectedClassifier}
@attribute Key_Scheme_options {'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-E \"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.trees.RandomForest -F 5 -T 0.01 -R 1 -E DEFAULT -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1'}
@attribute Key_Scheme_version_ID {1116839470751428698,-1151805453487947577}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric
@attribute measureNumAttributesSelected numeric
@attribute measureSelectionTime numeric
@attribute measureTime numeric

@data

R_data_frame,1,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,266,3,0,98.884758,1.115242,0,0.985051,0.014126,0.063646,4.722998,16.465269,577.176814,17.558383,559.618431,2.145639,0.065273,2.080366,559.618431,2.080366,96.957885,1,34,0,0,1,235,0,0,1,1,1,1,1,1,0.988848,0.003053,0.996947,0.011152,0.989166,0.988848,0.988645,0.986634,0.999841,0.998943,0.984033,0.988848,0.253,0.003,0.234375,0,234.375,0,883628,207196,24276,100,23.197026,?,-1,?,?,?
R_data_frame,1,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,267,2,0,99.256506,0.743494,0,0.990047,0.015569,0.057636,5.20524,14.910456,577.176814,17.574653,559.602162,2.145639,0.065333,2.080305,559.602162,2.080305,96.955066,1,34,0,0,1,235,0,0,1,1,1,1,1,1,0.992565,0.001076,0.998924,0.007435,0.992978,0.992565,0.992547,0.99167,1,1,0.987619,0.992565,0.273,0.004,0.265625,0,265.625,0,907599,207196,24276,100,24.089219,?,-1,?,?,?
R_data_frame,1,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,268,1,0,99.628253,0.371747,0,0.995027,0.015554,0.055736,5.200269,14.418794,577.176814,17.308793,559.868021,2.145639,0.064345,2.081294,559.868021,2.081294,97.001128,1,34,0,0,1,235,0,0,1,1,1,1,1,1,0.996283,0.001258,0.998742,0.003717,0.996336,0.996283,0.996287,0.994549,1,1,0.997555,0.996283,0.245,0.002,0.25,0,250,0,906219,207196,24276,100,24.163569,?,-1,?,?,?
R_data_frame,1,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,267,2,0,99.256506,0.743494,0,0.99006,0.013442,0.054385,4.491829,14.060746,578.165946,15.014083,563.151863,2.149316,0.055814,2.093501,563.151863,2.093501,97.403153,1,35,0,0,1,234,0,0,1,1,1,1,1,1,0.992565,0.001022,0.998978,0.007435,0.992565,0.992565,0.992565,0.991543,0.999969,0.999778,0.987666,0.992565,0.253,0.002,0.25,0,250,0,888933,207196,24276,100,23.643123,?,-1,?,?,?
R_data_frame,1,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,269,0,0,100,0,0,1,0.012967,0.049894,4.332657,12.89887,578.270355,14.263989,564.006366,2.149704,0.053026,2.096678,564.006366,2.096678,97.533336,1,34,0,0,1,235,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.273,0.005,0.25,0,250,0,891850,207196,24276,100,23.568773,?,-1,?,?,?
R_data_frame,1,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,268,1,0,99.628253,0.371747,0,0.995034,0.012981,0.047179,4.337626,12.197122,578.270355,14.144571,564.125783,2.149704,0.052582,2.097122,564.15438,2.097228,97.558932,1,34,0,0,1,235,0,0,1,1,1,1,1,1,0.996283,0.001233,0.998767,0.003717,0.996337,0.996283,0.996287,0.994561,1,1,0.997533,0.996283,0.309,0.005,0.3125,0.015625,312.5,15.625,911093,207196,24276,100,24.163569,?,-1,?,?,?
R_data_frame,1,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,269,0,0,100,0,0,1,0.013338,0.047398,4.456874,12.253622,578.270355,14.428432,563.841923,2.149704,0.053637,2.096067,563.841923,2.096067,97.504899,1,34,0,0,1,235,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.283,0.003,0.28125,0.015625,281.25,15.625,916309,207196,24276,100,23.791822,?,-1,?,?,?
R_data_frame,1,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,265,4,0,98.513011,1.486989,0,0.980133,0.01545,0.067206,5.159536,17.36357,578.858862,19.386563,559.4723,2.151892,0.072069,2.079823,559.4723,2.079823,96.6509,1,34,0,0,1,235,0,0,1,1,1,1,1,1,0.98513,0.002871,0.997129,0.01487,0.985804,0.98513,0.985082,0.982875,0.999701,0.998038,0.977276,0.98513,0.277,0.005,0.265625,0.015625,265.625,15.625,917309,207196,24276,100,24.163569,?,-1,?,?,?
R_data_frame,1,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,268,1,0,99.628253,0.371747,0,0.995037,0.01368,0.048794,4.568598,12.606579,578.858862,15.02089,563.837972,2.151892,0.05584,2.096052,563.837972,2.096052,97.405086,1,34,0,0,1,235,0,0,1,1,1,1,1,1,0.996283,0.000538,0.999462,0.003717,0.996389,0.996283,0.99628,0.995796,0.999984,0.999887,0.993927,0.996283,0.29,0.004,0.296875,0,296.875,0,901031,207196,24276,100,24.460967,?,-1,?,?,?
