@relation InstanceResultListener

@attribute Key_Dataset {R_data_frame}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.meta.Vote,weka.classifiers.meta.Stacking,weka.classifiers.meta.Bagging,weka.classifiers.meta.AdaBoostM1}
@attribute Key_Scheme_options {'-S 1 -B \"weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1\" -B \"weka.classifiers.trees.LMT -I -1 -M 15 -W 0.0\" -B \"weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \\\"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\\\" -calibrator \\\"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\\\"\" -R AVG','-X 10 -M \"weka.classifiers.trees.J48 -C 0.25 -M 2\" -S 1 -num-slots 1 -B \"weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1\" -B \"weka.classifiers.trees.LMT -I -1 -M 15 -W 0.0\" -B \"weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \\\"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\\\" -calibrator \\\"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\\\"\"','-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.LMT -- -I -1 -M 15 -W 0.0','-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump'}
@attribute Key_Scheme_version_ID {-637891196294399624,5134738557155845452,-115879962237199703,-1178107808933117974}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

R_data_frame,1,1,weka.classifiers.meta.Vote,'-S 1 -B \"weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1\" -B \"weka.classifiers.trees.LMT -I -1 -M 15 -W 0.0\" -B \"weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \\\"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\\\" -calibrator \\\"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\\\"\" -R AVG',-637891196294399624,20211023.1251,2421,269,268,1,0,99.628253,0.371747,0,0.994947,0.095555,0.123887,25.988159,28.896315,525.12898,83.467338,441.661643,1.952152,0.310288,1.641865,441.828852,1.642486,84.137206,1,39,0.004348,1,0.995652,229,0,0,0.975,1,0.987342,0.985272,1,1,0.996283,0.00063,0.99937,0.003717,0.996375,0.996283,0.996294,0.995289,0.999981,0.999951,0.995158,0.996283,3.987,0.004,3.9375,0,3937.5,0,1182063,207181,24261,100,75.092937,?,?
R_data_frame,1,2,weka.classifiers.meta.Vote,'-S 1 -B \"weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1\" -B \"weka.classifiers.trees.LMT -I -1 -M 15 -W 0.0\" -B \"weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \\\"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\\\" -calibrator \\\"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\\\"\" -R AVG',-637891196294399624,20211023.1251,2421,269,268,1,0,99.628253,0.371747,0,0.994944,0.098487,0.126902,26.785836,29.599688,525.12898,85.797223,439.331758,1.952152,0.318949,1.633204,439.331758,1.633204,83.661686,1,39,0,0,1,230,0,0,1,1,1,1,1,1,0.996283,0.001491,0.998509,0.003717,0.99633,0.996283,0.996282,0.994842,1,1,0.996709,0.996283,3.915,0.003,3.90625,0,3906.25,0,1212999,207181,24261,100,75.185874,?,?
R_data_frame,1,3,weka.classifiers.meta.Vote,'-S 1 -B \"weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1\" -B \"weka.classifiers.trees.LMT -I -1 -M 15 -W 0.0\" -B \"weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \\\"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\\\" -calibrator \\\"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\\\"\" -R AVG',-637891196294399624,20211023.1251,2421,269,268,1,0,99.628253,0.371747,0,0.994944,0.098385,0.127369,26.758023,29.708598,525.12898,85.745434,439.383546,1.952152,0.318756,1.633396,439.383546,1.633396,83.671548,1,39,0,0,1,230,0,0,1,1,1,1,1,1,0.996283,0.001491,0.998509,0.003717,0.99633,0.996283,0.996283,0.994802,1,1,0.996774,0.996283,3.955,0.003,3.9375,0,3937.5,0,1203261,207181,24261,100,75.092937,?,?
R_data_frame,1,4,weka.classifiers.meta.Vote,'-S 1 -B \"weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1\" -B \"weka.classifiers.trees.LMT -I -1 -M 15 -W 0.0\" -B \"weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \\\"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\\\" -calibrator \\\"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\\\"\" -R AVG',-637891196294399624,20211023.1251,2421,269,269,0,0,100,0,0,1,0.098225,0.126159,26.714453,29.426244,525.12898,85.379561,439.74942,1.952152,0.317396,1.634756,439.74942,1.634756,83.741221,1,39,0,0,1,230,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,3.245,0.003,3.21875,0,3218.75,0,1217478,207181,24261,100,75.092937,?,?
R_data_frame,1,5,weka.classifiers.meta.Vote,'-S 1 -B \"weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1\" -B \"weka.classifiers.trees.LMT -I -1 -M 15 -W 0.0\" -B \"weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \\\"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\\\" -calibrator \\\"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\\\"\" -R AVG',-637891196294399624,20211023.1251,2421,269,269,0,0,100,0,0,1,0.098076,0.126311,26.673971,29.461884,525.12898,85.280641,439.84834,1.952152,0.317028,1.635124,439.84834,1.635124,83.760058,1,39,0,0,1,230,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,3.932,0.004,3.90625,0,3906.25,0,1217883,207181,24261,100,75.092937,?,?
R_data_frame,1,6,weka.classifiers.meta.Vote,'-S 1 -B \"weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1\" -B \"weka.classifiers.trees.LMT -I -1 -M 15 -W 0.0\" -B \"weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \\\"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\\\" -calibrator \\\"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\\\"\" -R AVG',-637891196294399624,20211023.1251,2421,269,269,0,0,100,0,0,1,0.098597,0.12772,26.815539,29.790445,525.12898,85.902271,439.226709,1.952152,0.319339,1.632813,439.226709,1.632813,83.641681,1,39,0,0,1,230,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,3.828,0.004,3.828125,0,3828.125,0,1204627,207181,24261,100,75.092937,?,?
R_data_frame,1,7,weka.classifiers.meta.Vote,'-S 1 -B \"weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1\" -B \"weka.classifiers.trees.LMT -I -1 -M 15 -W 0.0\" -B \"weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \\\"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\\\" -calibrator \\\"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\\\"\" -R AVG',-637891196294399624,20211023.1251,2421,269,269,0,0,100,0,0,1,0.093733,0.118897,25.492855,27.732569,525.12898,80.776572,444.352408,1.952152,0.300285,1.651868,444.352408,1.651868,84.617765,1,39,0,0,1,230,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,2.819,0.004,2.8125,0.015625,2812.5,15.625,1219683,207181,24261,100,75,?,?
R_data_frame,1,8,weka.classifiers.meta.Vote,'-S 1 -B \"weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1\" -B \"weka.classifiers.trees.LMT -I -1 -M 15 -W 0.0\" -B \"weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \\\"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\\\" -calibrator \\\"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\\\"\" -R AVG',-637891196294399624,20211023.1251,2421,269,268,1,0,99.628253,0.371747,0,0.994944,0.097397,0.126046,26.48927,29.400064,525.12898,84.76683,440.362151,1.952152,0.315118,1.637034,440.362151,1.637034,83.857903,1,39,0,0,1,230,0,0,1,1,1,1,1,1,0.996283,0.001491,0.998509,0.003717,0.99633,0.996283,0.996283,0.994802,1,1,0.996774,0.996283,3.981,0.003,3.96875,0,3968.75,0,1202364,207181,24261,100,75,?,?
R_data_frame,1,9,weka.classifiers.meta.Vote,'-S 1 -B \"weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1\" -B \"weka.classifiers.trees.LMT -I -1 -M 15 -W 0.0\" -B \"weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \\\"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\\\" -calibrator \\\"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\\\"\" -R AVG',-637891196294399624,20211023.1251,2421,269,268,1,0,99.628253,0.371747,0,0.994951,0.097553,0.125966,26.514519,29.36,526.121817,84.849394,441.272424,1.955843,0.315425,1.640418,441.272424,1.640418,83.872671,1,40,0,0,1,229,0,0,1,1,1,1,1,1,0.996283,0.001491,0.998509,0.003717,0.99633,0.996283,0.996282,0.994815,1,1,0.996753,0.996283,3.872,0.004,3.875,0,3875,0,1203753,207181,24261,100,75,?,?
