@relation InstanceResultListener

@attribute Key_Dataset {R_data_frame}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.LMT,weka.classifiers.trees.RandomForest,weka.classifiers.meta.Vote,weka.classifiers.meta.Stacking,weka.classifiers.meta.Bagging,weka.classifiers.meta.AdaBoostM1}
@attribute Key_Scheme_options {'-I -1 -M 15 -W 0.0','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-S 1 -B \"weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1\" -B \"weka.classifiers.trees.LMT -I -1 -M 15 -W 0.0\" -B \"weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \\\"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\\\" -calibrator \\\"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\\\"\" -R AVG','-X 10 -M \"weka.classifiers.trees.J48 -C 0.25 -M 2\" -S 1 -num-slots 1 -B \"weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1\" -B \"weka.classifiers.trees.LMT -I -1 -M 15 -W 0.0\" -B \"weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \\\"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\\\" -calibrator \\\"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\\\"\"','-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.LMT -- -I -1 -M 15 -W 0.0','-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump'}
@attribute Key_Scheme_version_ID {-1113212459618104943,1116839470751428698,-637891196294399624,5134738557155845452,-115879962237199703,-1178107808933117974}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureOutOfBagError numeric

@data

R_data_frame,1,1,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1504,2421,269,267,2,0,99.256506,0.743494,0,0.989895,0.005077,0.053172,1.380918,12.402271,525.12898,33.097635,492.031345,1.952152,0.12304,1.829113,519.685299,1.931916,98.963363,1,39,0.004348,1,0.995652,229,0,0,0.975,1,0.987342,0.985272,0.999777,0.998702,0.992565,0.002121,0.997879,0.007435,0.992706,0.992565,0.992576,0.99009,0.998626,0.998017,0.991932,0.992565,3.597,0.001,3.59375,0,3593.75,0,13585,207181,24261,99.628253,25.836431,?,7,4,?
R_data_frame,1,2,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1504,2421,269,269,0,0,100,0,0,1,0.012835,0.038163,3.490856,8.901548,525.12898,10.636223,514.492757,1.952152,0.03954,1.912612,514.492757,1.912612,97.97455,1,39,0,0,1,230,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,3.528,0,3.5,0,3500,0,9239,207181,24261,100,28.159851,?,3,2,?
R_data_frame,1,3,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1504,2421,269,268,1,0,99.628253,0.371747,0,0.994944,0.010961,0.039297,2.981091,9.166057,525.12898,9.386489,515.742492,1.952152,0.034894,1.917258,515.742492,1.917258,98.212537,1,39,0,0,1,230,0,0,1,1,1,1,1,1,0.996283,0.001491,0.998509,0.003717,0.99633,0.996283,0.996283,0.994802,1,1,0.996774,0.996283,3.604,0,3.5625,0,3562.5,0,9239,207181,24261,100,27.32342,?,3,2,?
R_data_frame,1,4,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1504,2421,269,268,1,0,99.628253,0.371747,0,0.994944,0.018479,0.050519,5.025822,11.783485,525.12898,15.608231,509.520749,1.952152,0.058023,1.894129,509.520749,1.894129,97.027734,1,39,0,0,1,230,0,0,1,1,1,1,1,1,0.996283,0.001491,0.998509,0.003717,0.99633,0.996283,0.996283,0.994802,1,1,0.996774,0.996283,2.901,0,2.90625,0,2906.25,0,9239,207181,24261,100,30.483271,?,3,2,?
R_data_frame,1,5,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1504,2421,269,269,0,0,100,0,0,1,0.011769,0.039372,3.200756,9.183378,525.12898,9.884815,515.244166,1.952152,0.036747,1.915406,515.244166,1.915406,98.117641,1,39,0,0,1,230,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,3.62,0,3.625,0,3625,0,9239,207181,24261,100,27.881041,?,3,2,?
R_data_frame,1,6,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1504,2421,269,269,0,0,100,0,0,1,0.015022,0.049341,4.085487,11.508603,525.12898,12.875773,512.253207,1.952152,0.047865,1.904287,512.253207,1.904287,97.548074,1,39,0,0,1,230,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,3.56,0,3.546875,0,3546.875,0,9239,207181,24261,100,28.903346,?,3,2,?
R_data_frame,1,7,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1504,2421,269,269,0,0,100,0,0,1,0.000172,0.001706,0.046662,0.39781,525.12898,0.13432,524.99466,1.952152,0.000499,1.951653,524.99466,1.951653,99.974421,1,39,0,0,1,230,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,2.472,0.001,2.46875,0,2468.75,0,15758,207181,24261,100,25,?,9,5,?
R_data_frame,1,8,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1504,2421,269,269,0,0,100,0,0,1,0.011392,0.035632,3.098255,8.311072,525.12898,9.44164,515.687341,1.952152,0.035099,1.917053,515.687341,1.917053,98.202034,1,39,0,0,1,230,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,3.629,0,3.625,0,3625,0,9239,207181,24261,100,27.881041,?,3,2,?
R_data_frame,1,9,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1504,2421,269,268,1,0,99.628253,0.371747,0,0.994951,0.01274,0.044969,3.46261,10.481252,526.121817,10.972765,515.149053,1.955843,0.040791,1.915052,515.149053,1.915052,97.914406,1,40,0,0,1,229,0,0,1,1,1,1,1,1,0.996283,0.001491,0.998509,0.003717,0.99633,0.996283,0.996282,0.994815,1,1,0.996753,0.996283,3.529,0,3.515625,0,3515.625,0,9239,207181,24261,100,27.973978,?,3,2,?
R_data_frame,1,10,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1504,2421,269,268,1,0,99.628253,0.371747,0,0.994951,0.01311,0.044229,3.563311,10.309397,526.065321,11.173742,514.891578,1.955633,0.041538,1.914095,514.891578,1.914095,97.875978,1,40,0,0,1,229,0,0,1,1,1,1,1,1,0.996283,0.001491,0.998509,0.003717,0.99633,0.996283,0.996283,0.994802,1,1,0.996774,0.996283,3.357,0,3.328125,0,3328.125,0,9239,207181,24261,100,28.438662,?,3,2,?
R_data_frame,2,1,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1504,2421,269,269,0,0,100,0,0,1,0.000083,0.001256,0.02251,0.292686,526.121817,0.064906,526.056912,1.955843,0.000241,1.955602,526.056912,1.955602,99.987663,1,40,0,0,1,229,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,3.652,0.001,3.625,0,3625,0,15758,207181,24261,100,25,?,9,5,?
R_data_frame,2,2,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1504,2421,269,268,1,0,99.628253,0.371747,0,0.994951,0.00426,0.034313,1.157986,7.99796,526.065321,4.259437,521.805883,1.955633,0.015834,1.939799,521.91458,1.940203,99.210984,1,40,0,0,1,229,0,0,1,1,1,1,1,1,0.996283,0.001491,0.998509,0.003717,0.99633,0.996283,0.996283,0.994802,1,1,0.996774,0.996283,3.627,0,3.625,0,3625,0,11412,207181,24261,100,25.743494,?,5,3,?
R_data_frame,2,3,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1504,2421,269,269,0,0,100,0,0,1,0.011098,0.039477,3.018413,9.207968,525.12898,9.394904,515.734077,1.952152,0.034925,1.917227,515.734077,1.917227,98.210934,1,39,0,0,1,230,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,3.618,0,3.609375,0,3609.375,0,9239,207181,24261,100,27.230483,?,3,2,?
R_data_frame,2,4,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1504,2421,269,269,0,0,100,0,0,1,0.000525,0.005194,0.142914,1.211544,525.12898,0.418903,524.710077,1.952152,0.001557,1.950595,524.710077,1.950595,99.920229,1,39,0,0,1,230,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,2.936,0,2.9375,0,2937.5,0,15758,207181,24261,100,25.185874,?,9,5,?
R_data_frame,2,5,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1504,2421,269,268,1,0,99.628253,0.371747,0,0.994944,0.013149,0.04196,3.5761,9.787099,525.12898,11.113531,514.01545,1.952152,0.041314,1.910838,514.01545,1.910838,97.883657,1,39,0,0,1,230,0,0,1,1,1,1,1,1,0.996283,0.001491,0.998509,0.003717,0.99633,0.996283,0.996283,0.994802,1,1,0.996774,0.996283,3.58,0,3.5625,0,3562.5,0,9239,207181,24261,100,28.810409,?,3,2,?
R_data_frame,2,6,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1505,2421,269,267,2,0,99.256506,0.743494,0,0.989895,0.003743,0.060971,1.018045,14.221445,525.12898,314.054196,211.074784,1.952152,1.167488,0.784665,520.51184,1.934988,99.120761,1,39,0.004348,1,0.995652,229,0,0,0.975,1,0.987342,0.985272,1,1,0.992565,0.002121,0.997879,0.007435,0.992706,0.992565,0.992576,0.99009,0.993955,0.983799,0.991932,0.992565,3.71,0,3.6875,0,3687.5,0,15758,207181,24261,99.256506,25,?,9,5,?
