@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,341,0,2349,0,1,1,0.126766,1,0.873234,0.225008,1,1,0
1,341,0,42,2307,0.01788,1,0.890339,1,0.109661,0.941989,0.142379,7.023499,0.01
2,341,0,12,2337,0.005109,1,0.966006,1,0.033994,0.982709,0.131227,7.620397,0.02
3,341,0,3,2346,0.001277,1,0.991279,1,0.008721,0.99562,0.127881,7.819767,0.03
4,341,0,2,2347,0.000851,1,0.994169,1,0.005831,0.997076,0.127509,7.842566,0.08
5,341,0,0,2349,0,1,1,1,0,1,0.126766,7.888563,0.88
6,340,1,0,2349,0,0.997067,1,0.997067,0,0.998532,0.126394,7.888563,0.92
7,339,2,0,2349,0,0.994135,1,0.994135,0,0.997059,0.126022,7.888563,0.93
8,337,4,0,2349,0,0.98827,1,0.98827,0,0.9941,0.125279,7.888563,0.94
9,335,6,0,2349,0,0.982405,1,0.982405,0,0.991124,0.124535,7.888563,0.95
10,331,10,0,2349,0,0.970674,1,0.970674,0,0.985119,0.123048,7.888563,0.96
11,329,12,0,2349,0,0.964809,1,0.964809,0,0.98209,0.122305,7.888563,0.97
12,324,17,0,2349,0,0.950147,1,0.950147,0,0.974436,0.120446,7.888563,0.98
13,315,26,0,2349,0,0.923754,1,0.923754,0,0.960366,0.1171,7.888563,0.99
14,300,41,0,2349,0,0.879765,1,0.879765,0,0.936037,0.111524,7.888563,1
15,0,341,0,2349,0,0,?,0,?,?,0,?,1.00001
