@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,316,0,2374,0,1,1,0.117472,1,0.882528,0.210246,1,1,0
1,316,0,546,1828,0.229992,1,0.366589,1,0.633411,0.536503,0.320446,3.12065,0.01
2,316,0,417,1957,0.175653,1,0.431105,1,0.568895,0.602479,0.272491,3.66985,0.02
3,316,0,319,2055,0.134372,1,0.497638,1,0.502362,0.664564,0.236059,4.23622,0.03
4,316,0,254,2120,0.106992,1,0.554386,1,0.445614,0.713318,0.211896,4.719298,0.04
5,316,0,217,2157,0.091407,1,0.592871,1,0.407129,0.744405,0.198141,5.046904,0.05
6,316,0,186,2188,0.078349,1,0.629482,1,0.370518,0.772616,0.186617,5.358566,0.06
7,316,0,168,2206,0.070767,1,0.652893,1,0.347107,0.79,0.179926,5.557851,0.07
8,316,0,142,2232,0.059815,1,0.689956,1,0.310044,0.816537,0.17026,5.873362,0.08
9,316,0,124,2250,0.052233,1,0.718182,1,0.281818,0.835979,0.163569,6.113636,0.09
10,316,0,110,2264,0.046335,1,0.741784,1,0.258216,0.851752,0.158364,6.314554,0.1
11,316,0,98,2276,0.041281,1,0.763285,1,0.236715,0.865753,0.153903,6.497585,0.11
12,316,0,87,2287,0.036647,1,0.784119,1,0.215881,0.878999,0.149814,6.674938,0.12
13,316,0,79,2295,0.033277,1,0.8,1,0.2,0.888889,0.14684,6.810127,0.13
14,315,1,69,2305,0.029065,0.996835,0.820313,0.996835,0.179688,0.9,0.142751,6.98304,0.14
15,315,1,62,2312,0.026116,0.996835,0.835544,0.996835,0.164456,0.909091,0.140149,7.112699,0.15
16,315,1,57,2317,0.02401,0.996835,0.846774,0.996835,0.153226,0.915698,0.13829,7.208299,0.16
17,315,1,50,2324,0.021061,0.996835,0.863014,0.996835,0.136986,0.92511,0.135688,7.346541,0.17
18,314,2,44,2330,0.018534,0.993671,0.877095,0.993671,0.122905,0.931751,0.133086,7.46641,0.18
19,314,2,42,2332,0.017692,0.993671,0.882022,0.993671,0.117978,0.934524,0.132342,7.508356,0.19
20,314,2,40,2334,0.016849,0.993671,0.887006,0.993671,0.112994,0.937313,0.131599,7.550776,0.2
21,314,2,35,2339,0.014743,0.993671,0.899713,0.993671,0.100287,0.944361,0.12974,7.658953,0.21
22,314,2,31,2343,0.013058,0.993671,0.910145,0.993671,0.089855,0.950076,0.128253,7.747753,0.22
23,314,2,30,2344,0.012637,0.993671,0.912791,0.993671,0.087209,0.951515,0.127881,7.770275,0.23
24,314,2,26,2348,0.010952,0.993671,0.923529,0.993671,0.076471,0.957317,0.126394,7.86169,0.24
25,314,2,23,2351,0.009688,0.993671,0.931751,0.993671,0.068249,0.961715,0.125279,7.931676,0.25
26,313,3,22,2352,0.009267,0.990506,0.934328,0.990506,0.065672,0.961598,0.124535,7.953618,0.26
27,313,3,20,2354,0.008425,0.990506,0.93994,0.990506,0.06006,0.964561,0.123792,8.001387,0.27
28,313,3,19,2355,0.008003,0.990506,0.942771,0.990506,0.057229,0.966049,0.12342,8.025488,0.28
29,313,3,17,2357,0.007161,0.990506,0.948485,0.990506,0.051515,0.96904,0.122677,8.074127,0.29
30,313,3,16,2358,0.00674,0.990506,0.951368,0.990506,0.048632,0.970543,0.122305,8.098669,0.3
31,313,3,15,2359,0.006318,0.990506,0.954268,0.990506,0.045732,0.97205,0.121933,8.12336,0.31
32,313,3,14,2360,0.005897,0.990506,0.957187,0.990506,0.042813,0.973561,0.121561,8.148202,0.32
33,313,3,13,2361,0.005476,0.990506,0.960123,0.990506,0.039877,0.975078,0.12119,8.173196,0.33
34,313,3,11,2363,0.004634,0.990506,0.966049,0.990506,0.033951,0.978125,0.120446,8.223648,0.34
35,313,3,10,2364,0.004212,0.990506,0.96904,0.990506,0.03096,0.979656,0.120074,8.249108,0.36
36,312,4,10,2364,0.004212,0.987342,0.968944,0.987342,0.031056,0.978056,0.119703,8.24829,0.37
37,312,4,9,2365,0.003791,0.987342,0.971963,0.987342,0.028037,0.979592,0.119331,8.273986,0.38
38,310,6,9,2365,0.003791,0.981013,0.971787,0.981013,0.028213,0.976378,0.118587,8.272489,0.39
39,309,7,9,2365,0.003791,0.977848,0.971698,0.977848,0.028302,0.974763,0.118216,8.271734,0.41
40,308,8,9,2365,0.003791,0.974684,0.971609,0.974684,0.028391,0.973144,0.117844,8.270974,0.42
41,308,8,8,2366,0.00337,0.974684,0.974684,0.974684,0.025316,0.974684,0.117472,8.297148,0.43
42,308,8,6,2368,0.002527,0.974684,0.980892,0.974684,0.019108,0.977778,0.116729,8.349996,0.44
43,308,8,5,2369,0.002106,0.974684,0.984026,0.974684,0.015974,0.979332,0.116357,8.376673,0.45
44,307,9,3,2371,0.001264,0.971519,0.990323,0.971519,0.009677,0.980831,0.115242,8.430278,0.46
45,307,9,2,2372,0.000842,0.971519,0.993528,0.971519,0.006472,0.9824,0.11487,8.45756,0.47
46,307,9,1,2373,0.000421,0.971519,0.996753,0.971519,0.003247,0.983974,0.114498,8.48502,0.48
47,306,10,1,2373,0.000421,0.968354,0.996743,0.968354,0.003257,0.982343,0.114126,8.48493,0.49
48,304,12,1,2373,0.000421,0.962025,0.996721,0.962025,0.003279,0.979066,0.113383,8.484748,0.52
49,303,13,0,2374,0,0.958861,1,0.958861,0,0.978998,0.112639,8.512658,0.54
50,302,14,0,2374,0,0.955696,1,0.955696,0,0.977346,0.112268,8.512658,0.55
51,301,15,0,2374,0,0.952532,1,0.952532,0,0.975689,0.111896,8.512658,0.56
52,300,16,0,2374,0,0.949367,1,0.949367,0,0.974026,0.111524,8.512658,0.57
53,298,18,0,2374,0,0.943038,1,0.943038,0,0.970684,0.110781,8.512658,0.58
54,296,20,0,2374,0,0.936709,1,0.936709,0,0.96732,0.110037,8.512658,0.6
55,295,21,0,2374,0,0.933544,1,0.933544,0,0.96563,0.109665,8.512658,0.62
56,294,22,0,2374,0,0.93038,1,0.93038,0,0.963934,0.109294,8.512658,0.63
57,293,23,0,2374,0,0.927215,1,0.927215,0,0.962233,0.108922,8.512658,0.64
58,292,24,0,2374,0,0.924051,1,0.924051,0,0.960526,0.10855,8.512658,0.65
59,291,25,0,2374,0,0.920886,1,0.920886,0,0.958814,0.108178,8.512658,0.66
60,289,27,0,2374,0,0.914557,1,0.914557,0,0.955372,0.107435,8.512658,0.67
61,288,28,0,2374,0,0.911392,1,0.911392,0,0.953642,0.107063,8.512658,0.68
62,285,31,0,2374,0,0.901899,1,0.901899,0,0.948419,0.105948,8.512658,0.69
63,282,34,0,2374,0,0.892405,1,0.892405,0,0.943144,0.104833,8.512658,0.7
64,280,36,0,2374,0,0.886076,1,0.886076,0,0.939597,0.104089,8.512658,0.72
65,278,38,0,2374,0,0.879747,1,0.879747,0,0.936027,0.103346,8.512658,0.73
66,277,39,0,2374,0,0.876582,1,0.876582,0,0.934233,0.102974,8.512658,0.74
67,276,40,0,2374,0,0.873418,1,0.873418,0,0.932432,0.102602,8.512658,0.75
68,273,43,0,2374,0,0.863924,1,0.863924,0,0.926995,0.101487,8.512658,0.76
69,270,46,0,2374,0,0.85443,1,0.85443,0,0.921502,0.100372,8.512658,0.77
70,269,47,0,2374,0,0.851266,1,0.851266,0,0.919658,0.1,8.512658,0.78
71,268,48,0,2374,0,0.848101,1,0.848101,0,0.917808,0.099628,8.512658,0.79
72,264,52,0,2374,0,0.835443,1,0.835443,0,0.910345,0.098141,8.512658,0.8
73,260,56,0,2374,0,0.822785,1,0.822785,0,0.902778,0.096654,8.512658,0.81
74,258,58,0,2374,0,0.816456,1,0.816456,0,0.898955,0.095911,8.512658,0.82
75,253,63,0,2374,0,0.800633,1,0.800633,0,0.889279,0.094052,8.512658,0.83
76,248,68,0,2374,0,0.78481,1,0.78481,0,0.879433,0.092193,8.512658,0.84
77,239,77,0,2374,0,0.756329,1,0.756329,0,0.861261,0.088848,8.512658,0.85
78,235,81,0,2374,0,0.743671,1,0.743671,0,0.852995,0.087361,8.512658,0.86
79,230,86,0,2374,0,0.727848,1,0.727848,0,0.842491,0.085502,8.512658,0.87
80,223,93,0,2374,0,0.705696,1,0.705696,0,0.827458,0.0829,8.512658,0.88
81,220,96,0,2374,0,0.696203,1,0.696203,0,0.820896,0.081784,8.512658,0.89
82,216,100,0,2374,0,0.683544,1,0.683544,0,0.81203,0.080297,8.512658,0.9
83,203,113,0,2374,0,0.642405,1,0.642405,0,0.782274,0.075465,8.512658,0.91
84,193,123,0,2374,0,0.610759,1,0.610759,0,0.75835,0.071747,8.512658,0.92
85,180,136,0,2374,0,0.56962,1,0.56962,0,0.725806,0.066914,8.512658,0.93
86,167,149,0,2374,0,0.528481,1,0.528481,0,0.691511,0.062082,8.512658,0.94
87,150,166,0,2374,0,0.474684,1,0.474684,0,0.643777,0.055762,8.512658,0.95
88,127,189,0,2374,0,0.401899,1,0.401899,0,0.573363,0.047212,8.512658,0.96
89,110,206,0,2374,0,0.348101,1,0.348101,0,0.516432,0.040892,8.512658,0.97
90,89,227,0,2374,0,0.281646,1,0.281646,0,0.439506,0.033086,8.512658,0.98
91,54,262,0,2374,0,0.170886,1,0.170886,0,0.291892,0.020074,8.512658,0.99
92,26,290,0,2374,0,0.082278,1,0.082278,0,0.152047,0.009665,8.512658,1
93,0,316,0,2374,0,0,?,0,?,?,0,?,1.00001
