@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,340,0,2350,0,1,1,0.126394,1,0.873606,0.224422,1,1,0
1,340,0,358,1992,0.15234,1,0.487106,1,0.512894,0.655106,0.25948,3.853868,0.01
2,340,0,249,2101,0.105957,1,0.57725,1,0.42275,0.73197,0.218959,4.567063,0.02
3,340,0,203,2147,0.086383,1,0.626151,1,0.373849,0.770102,0.201859,4.953959,0.03
4,340,0,169,2181,0.071915,1,0.667976,1,0.332024,0.800942,0.189219,5.284872,0.04
5,340,0,144,2206,0.061277,1,0.702479,1,0.297521,0.825243,0.179926,5.557851,0.05
6,340,0,119,2231,0.050638,1,0.740741,1,0.259259,0.851064,0.170632,5.860566,0.06
7,340,0,108,2242,0.045957,1,0.758929,1,0.241071,0.862944,0.166543,6.004464,0.07
8,340,0,96,2254,0.040851,1,0.779817,1,0.220183,0.876289,0.162082,6.169725,0.08
9,340,0,88,2262,0.037447,1,0.794393,1,0.205607,0.885417,0.159108,6.285047,0.09
10,340,0,80,2270,0.034043,1,0.809524,1,0.190476,0.894737,0.156134,6.404762,0.1
11,340,0,77,2273,0.032766,1,0.815348,1,0.184652,0.898283,0.155019,6.450839,0.11
12,340,0,68,2282,0.028936,1,0.833333,1,0.166667,0.909091,0.151673,6.593137,0.12
13,340,0,60,2290,0.025532,1,0.85,1,0.15,0.918919,0.148699,6.725,0.13
14,340,0,54,2296,0.022979,1,0.862944,1,0.137056,0.926431,0.146468,6.827411,0.14
15,340,0,50,2300,0.021277,1,0.871795,1,0.128205,0.931507,0.144981,6.897436,0.15
16,340,0,45,2305,0.019149,1,0.883117,1,0.116883,0.937931,0.143123,6.987013,0.16
17,340,0,43,2307,0.018298,1,0.887728,1,0.112272,0.940526,0.142379,7.023499,0.17
18,340,0,39,2311,0.016596,1,0.897098,1,0.102902,0.945758,0.140892,7.097625,0.18
19,340,0,37,2313,0.015745,1,0.901857,1,0.098143,0.948396,0.140149,7.135279,0.19
20,340,0,35,2315,0.014894,1,0.906667,1,0.093333,0.951049,0.139405,7.173333,0.2
21,340,0,31,2319,0.013191,1,0.916442,1,0.083558,0.956399,0.137918,7.250674,0.21
22,340,0,29,2321,0.01234,1,0.921409,1,0.078591,0.959097,0.137175,7.289973,0.22
23,340,0,28,2322,0.011915,1,0.923913,1,0.076087,0.960452,0.136803,7.309783,0.24
24,340,0,26,2324,0.011064,1,0.928962,1,0.071038,0.963173,0.136059,7.349727,0.26
25,340,0,24,2326,0.010213,1,0.934066,1,0.065934,0.965909,0.135316,7.39011,0.28
26,340,0,23,2327,0.009787,1,0.936639,1,0.063361,0.967283,0.134944,7.410468,0.29
27,340,0,22,2328,0.009362,1,0.939227,1,0.060773,0.968661,0.134572,7.430939,0.3
28,340,0,21,2329,0.008936,1,0.941828,1,0.058172,0.970043,0.134201,7.451524,0.31
29,340,0,19,2331,0.008085,1,0.947075,1,0.052925,0.972818,0.133457,7.493036,0.32
30,340,0,17,2333,0.007234,1,0.952381,1,0.047619,0.97561,0.132714,7.535014,0.33
31,340,0,16,2334,0.006809,1,0.955056,1,0.044944,0.977011,0.132342,7.55618,0.35
32,340,0,14,2336,0.005957,1,0.960452,1,0.039548,0.979827,0.131599,7.59887,0.38
33,340,0,12,2338,0.005106,1,0.965909,1,0.034091,0.982659,0.130855,7.642045,0.39
34,339,1,12,2338,0.005106,0.997059,0.965812,0.997059,0.034188,0.981187,0.130483,7.641277,0.41
35,339,1,10,2340,0.004255,0.997059,0.971347,0.997059,0.028653,0.984035,0.12974,7.685067,0.45
36,339,1,9,2341,0.00383,0.997059,0.974138,0.997059,0.025862,0.985465,0.129368,7.70715,0.46
37,339,1,8,2342,0.003404,0.997059,0.976945,0.997059,0.023055,0.9869,0.128996,7.729361,0.48
38,338,2,8,2342,0.003404,0.994118,0.976879,0.994118,0.023121,0.985423,0.128625,7.728834,0.49
39,338,2,7,2343,0.002979,0.994118,0.97971,0.994118,0.02029,0.986861,0.128253,7.751236,0.5
40,338,2,5,2345,0.002128,0.994118,0.985423,0.994118,0.014577,0.989751,0.127509,7.796433,0.54
41,337,3,4,2346,0.001702,0.991176,0.98827,0.991176,0.01173,0.989721,0.126766,7.818958,0.55
42,336,4,3,2347,0.001277,0.988235,0.99115,0.988235,0.00885,0.989691,0.126022,7.841749,0.56
43,335,5,3,2347,0.001277,0.985294,0.991124,0.985294,0.008876,0.988201,0.125651,7.841542,0.57
44,334,6,3,2347,0.001277,0.982353,0.991098,0.982353,0.008902,0.986706,0.125279,7.841334,0.58
45,333,7,3,2347,0.001277,0.979412,0.991071,0.979412,0.008929,0.985207,0.124907,7.841124,0.61
46,332,8,2,2348,0.000851,0.976471,0.994012,0.976471,0.005988,0.985163,0.124164,7.864389,0.62
47,331,9,2,2348,0.000851,0.973529,0.993994,0.973529,0.006006,0.983655,0.123792,7.864247,0.65
48,329,11,2,2348,0.000851,0.967647,0.993958,0.967647,0.006042,0.980626,0.123048,7.863959,0.66
49,328,12,2,2348,0.000851,0.964706,0.993939,0.964706,0.006061,0.979104,0.122677,7.863815,0.67
50,326,14,2,2348,0.000851,0.958824,0.993902,0.958824,0.006098,0.976048,0.121933,7.863522,0.69
51,325,15,2,2348,0.000851,0.955882,0.993884,0.955882,0.006116,0.974513,0.121561,7.863375,0.72
52,324,16,2,2348,0.000851,0.952941,0.993865,0.952941,0.006135,0.972973,0.12119,7.863226,0.73
53,321,19,2,2348,0.000851,0.944118,0.993808,0.944118,0.006192,0.968326,0.120074,7.862775,0.74
54,320,20,2,2348,0.000851,0.941176,0.993789,0.941176,0.006211,0.966767,0.119703,7.862623,0.75
55,317,23,2,2348,0.000851,0.932353,0.99373,0.932353,0.00627,0.962064,0.118587,7.862161,0.76
56,316,24,2,2348,0.000851,0.929412,0.993711,0.929412,0.006289,0.960486,0.118216,7.862005,0.77
57,313,27,2,2348,0.000851,0.920588,0.993651,0.920588,0.006349,0.955725,0.1171,7.861531,0.78
58,310,30,2,2348,0.000851,0.911765,0.99359,0.911765,0.00641,0.95092,0.115985,7.861048,0.79
